id,correct,amount
23,TRUE,400
54,TRUE,1600
72,TRUE,1000
118,TRUE,3000
130,TRUE,1000
172,TRUE,4000
184,TRUE,1000
220,FALSE,2000
225,TRUE,2000
243,FALSE,1000
272,FALSE,1600
273,TRUE,1200
327,TRUE,2000
330,TRUE,4000
357,FALSE,1400
398,FALSE,1000
439,FALSE,1000
474,TRUE,2400
477,FALSE,2000
507,TRUE,1600
533,FALSE,1600
581,TRUE,2000
609,TRUE,800
640,FALSE,1800
696,FALSE,1800
727,FALSE,1400
734,FALSE,2000
752,TRUE,1600
794,FALSE,2600
807,TRUE,2000
854,TRUE,3800
856,FALSE,2000
884,FALSE,1000
948,TRUE,800
972,FALSE,1000
981,TRUE,200
1003,TRUE,700
1025,FALSE,2000
1028,TRUE,2000
1061,TRUE,800
1084,TRUE,2000
1092,TRUE,3000
1121,FALSE,2000
1143,TRUE,1400
1144,TRUE,1000
1203,FALSE,2000
1226,FALSE,1000
1243,TRUE,3000
1250,TRUE,4000
1296,TRUE,10000
1302,TRUE,2000
1327,TRUE,1000
1359,FALSE,10000
1381,TRUE,4000
1407,TRUE,7000
1416,FALSE,2000
1437,FALSE,1000
1457,TRUE,2000
1472,FALSE,6000
1480,FALSE,2400
1523,TRUE,3200
1540,TRUE,2400
1565,TRUE,3000
1575,FALSE,3000
1591,TRUE,1000
1617,TRUE,4000
1620,TRUE,4000
1656,TRUE,600
1684,TRUE,3800
1752,FALSE,1200
1803,FALSE,2000
1837,TRUE,2000
1856,TRUE,4000
1869,TRUE,4000
1914,FALSE,2000
1921,TRUE,6000
1951,TRUE,1000
1987,TRUE,7000
2014,TRUE,800
2030,FALSE,2000
2039,FALSE,3000
2066,TRUE,800
2087,TRUE,2000
2114,TRUE,1600
2152,TRUE,2000
2184,FALSE,800
2197,TRUE,400
2198,TRUE,1600
2264,TRUE,4000
2271,FALSE,1400
2305,FALSE,1600
2320,FALSE,1600
2327,TRUE,1600
2381,TRUE,1200
2388,FALSE,1200
2416,TRUE,2000
2440,FALSE,2000
2444,TRUE,2000
2461,TRUE,1000
2499,FALSE,2000
2530,TRUE,3600
2549,TRUE,4400
2560,TRUE,2200
2616,TRUE,2000
2620,FALSE,2000
2647,TRUE,1800
2670,TRUE,2000
2675,TRUE,4000
2710,FALSE,1000
2730,TRUE,2000
2735,TRUE,2000
2776,FALSE,800
2799,TRUE,2000
2809,FALSE,2000
2841,TRUE,1200
2852,TRUE,4000
2863,FALSE,6000
2888,TRUE,200
2910,TRUE,800
2966,FALSE,1400
2994,TRUE,800
3015,TRUE,4000
3016,TRUE,1000
3032,FALSE,600
3076,FALSE,4000
3082,FALSE,4000
3107,TRUE,1000
3127,TRUE,3000
3129,FALSE,2000
3161,TRUE,1200
3188,TRUE,1200
3191,TRUE,1800
3221,TRUE,400
3233,TRUE,800
3250,FALSE,1000
3281,FALSE,1000
3294,FALSE,1400
3304,TRUE,2000
3325,TRUE,1000
3339,FALSE,2000
3367,TRUE,2000
3369,TRUE,2000
3397,TRUE,600
3427,TRUE,3200
3457,TRUE,1000
3480,FALSE,3000
3485,TRUE,1800
3519,FALSE,600
3540,TRUE,4200
3551,TRUE,4000
3567,TRUE,1000
3596,TRUE,2400
3626,TRUE,1000
3649,TRUE,2000
3658,FALSE,2000
3686,TRUE,400
3711,TRUE,200
3719,TRUE,6000
3743,FALSE,1000
3773,TRUE,1600
3781,TRUE,2000
3799,FALSE,1000
3825,TRUE,400
3827,TRUE,2800
3860,FALSE,1200
3871,TRUE,2000
3875,FALSE,1200
3906,FALSE,600
3927,FALSE,4000
3941,TRUE,2000
3960,TRUE,800
3984,TRUE,1000
3993,FALSE,2000
4023,TRUE,800
4046,TRUE,6000
4051,TRUE,800
4075,TRUE,1000
4102,TRUE,2000
4104,FALSE,4000
4134,FALSE,800
4169,FALSE,3600
4173,FALSE,4000
4199,TRUE,600
4227,TRUE,3000
4254,FALSE,1000
4274,TRUE,3000
4277,TRUE,4000
4300,TRUE,1000
4324,TRUE,3200
4330,TRUE,2400
4363,TRUE,600
4384,FALSE,800
4386,TRUE,2000
4423,FALSE,800
4448,FALSE,2000
4463,TRUE,2000
4479,FALSE,1600
4519,FALSE,6000
4520,TRUE,6200
4543,TRUE,1000
4570,FALSE,800
4579,FALSE,1000
4596,TRUE,600
4631,TRUE,4000
4640,FALSE,2000
4660,FALSE,1000
4677,TRUE,600
4681,TRUE,1000
4715,TRUE,1000
4744,TRUE,2000
4756,TRUE,2000
4781,TRUE,400
4797,FALSE,2000
4803,TRUE,1000
4828,FALSE,800
4855,FALSE,1600
4857,TRUE,2000
4894,TRUE,800
4916,TRUE,3000
4955,TRUE,600
4972,TRUE,2400
4980,FALSE,2400
5002,TRUE,600
5033,FALSE,2400
5035,TRUE,2000
5083,TRUE,6600
5093,TRUE,1600
5125,FALSE,1000
