id,correct,amount
23,1,400
54,1,1600
72,1,1000
118,1,3000
130,1,1000
172,1,4000
184,1,1000
220,0,2000
225,1,2000
243,0,1000
272,0,1600
273,1,1200
327,1,2000
330,1,4000
357,0,1400
398,0,1000
439,0,1000
474,1,2400
477,0,2000
507,1,1600
533,0,1600
581,1,2000
609,1,800
640,0,1800
696,0,1800
727,0,1400
734,0,2000
752,1,1600
794,0,2600
807,1,2000
854,1,3800
856,0,2000
884,0,1000
948,1,800
972,0,1000
981,1,200
1003,1,700
1025,0,2000
1028,1,2000
1061,1,800
1084,1,2000
1092,1,3000
1121,0,2000
1143,1,1400
1144,1,1000
1203,0,2000
1226,0,1000
1243,1,3000
1250,1,4000
1296,1,10000
1302,1,2000
1327,1,1000
1359,0,10000
1381,1,4000
1407,1,7000
1416,0,2000
1437,0,1000
1457,1,2000
1472,0,6000
1480,0,2400
1523,1,3200
1540,1,2400
1565,1,3000
1575,0,3000
1591,1,1000
1617,1,4000
1620,1,4000
1656,1,600
1684,1,3800
1752,0,1200
1803,0,2000
1837,1,2000
1856,1,4000
1869,1,4000
1914,0,2000
1921,1,6000
1951,1,1000
1987,1,7000
2014,1,800
2030,0,2000
2039,0,3000
2066,1,800
2087,1,2000
2114,1,1600
2152,1,2000
2184,0,800
2197,1,400
2198,1,1600
2264,1,4000
2271,0,1400
2305,0,1600
2320,0,1600
2327,1,1600
2381,1,1200
2388,0,1200
2416,1,2000
2440,0,2000
2444,1,2000
2461,1,1000
2499,0,2000
2530,1,3600
2549,1,4400
2560,1,2200
2616,1,2000
2620,0,2000
2647,1,1800
2670,1,2000
2675,1,4000
2710,0,1000
2730,1,2000
2735,1,2000
2776,0,800
2799,1,2000
2809,0,2000
2841,1,1200
2852,1,4000
2863,0,6000
2888,1,200
2910,1,800
2966,0,1400
2994,1,800
3015,1,4000
3016,1,1000
3032,0,600
3076,0,4000
3082,0,4000
3107,1,1000
3127,1,3000
3129,0,2000
3161,1,1200
3188,1,1200
3191,1,1800
3221,1,400
3233,1,800
3250,0,1000
3281,0,1000
3294,0,1400
3304,1,2000
3325,1,1000
3339,0,2000
3367,1,2000
3369,1,2000
3397,1,600
3427,1,3200
3457,1,1000
3480,0,3000
3485,1,1800
3519,0,600
3540,1,4200
3551,1,4000
3567,1,1000
3596,1,2400
3626,1,1000
3649,1,2000
3658,0,2000
3686,1,400
3711,1,200
3719,1,6000
3743,0,1000
3773,1,1600
3781,1,2000
3799,0,1000
3825,1,400
3827,1,2800
3860,0,1200
3871,1,2000
3875,0,1200
3906,0,600
3927,0,4000
3941,1,2000
3960,1,800
3984,1,1000
3993,0,2000
4023,1,800
4046,1,6000
4051,1,800
4075,1,1000
4102,1,2000
4104,0,4000
4134,0,800
4169,0,3600
4173,0,4000
4199,1,600
4227,1,3000
4254,0,1000
4274,1,3000
4277,1,4000
4300,1,1000
4324,1,3200
4330,1,2400
4363,1,600
4384,0,800
4386,1,2000
4423,0,800
4448,0,2000
4463,1,2000
4479,0,1600
4519,0,6000
4520,1,6200
4543,1,1000
4570,0,800
4579,0,1000
4596,1,600
4631,1,4000
4640,0,2000
4660,0,1000
4677,1,600
4681,1,1000
4715,1,1000
4744,1,2000
4756,1,2000
4781,1,400
4797,0,2000
4803,1,1000
4828,0,800
4855,0,1600
4857,1,2000
4894,1,800
4916,1,3000
4955,1,600
4972,1,2400
4980,0,2400
5002,1,600
5033,0,2400
5035,1,2000
5083,1,6600
5093,1,1600
5125,0,1000
5148,1,2000
5155,0,1200
5188,1,1200
5203,0,2000
5214,0,4000
5244,1,1000
5275,1,1600
5308,0,1000
5323,0,1000
5330,1,800
5366,0,1000
5384,1,1000
5392,1,1000
5425,1,600
5448,0,1200
5451,0,2000
5495,1,2000
5505,1,2000
5529,0,200
5548,0,1000
5554,0,1000
5591,1,1400
5602,1,2800
5610,0,1000
5639,1,800
5659,1,1000
5662,1,2000
5706,1,400
5727,0,1000
5730,1,2000
5761,1,1000
5784,1,2000
5816,1,1000
5830,0,6000
5836,0,2000
5866,0,2000
5882,1,1000
5885,0,4000
5918,1,1000
5948,0,2000
5973,0,600
5992,1,2000
5999,1,4000
6031,1,1000
6045,0,1000
6051,1,2600
6086,0,1000
6100,0,2000
6101,1,1600
6137,1,1000
6152,0,4000
6156,1,2000
6186,1,1000
6212,0,600
6223,0,1000
6233,1,400
6267,0,2000
6272,1,200
6287,0,600
6323,0,1200
6329,1,2000
6362,1,1000
6383,0,2000
6385,0,4000
6415,1,1000
6442,0,2000
6444,1,2000
6477,0,3600
6498,0,1000
6501,0,200
6527,1,600
6557,1,1600
6572,1,2000
6596,0,1000
6621,1,2000
6632,0,6800
6652,1,1200
6674,1,3000
6677,0,1200
6716,0,1000
6733,0,400
6740,1,1000
6761,0,2000
6793,1,1400
6794,0,2000
6831,0,800
6848,0,1000
6852,1,1200
6879,0,800
6897,1,400
6907,1,1200
6928,1,1600
6960,1,800
6969,0,1600
6994,0,10
7012,1,2800
7017,0,2600
7050,0,800
7066,0,2000
7067,1,800
7106,0,1000
7117,1,2000
7121,1,2600
7154,0,800
7168,1,2000
7203,0,1000
7232,1,3000
7235,0,1400
7279,0,1000
7295,0,4000
7297,1,2000
7327,0,600
7354,1,4000
7362,1,3600
7391,1,600
7409,1,4000
7416,1,3002
7438,1,800
7474,0,400
7476,0,2000
7502,0,1000
7527,0,1000
7534,0,1000
7565,0,1000
7578,0,1000
7585,1,2000
7619,0,1000
7645,1,1400
7646,1,1600
7672,0,800
7695,1,1200
7698,1,1000
7719,0,1000
7742,1,600
7765,0,1000
7799,1,1600
7800,1,3800
7832,1,800
7862,1,1600
7866,0,2000
7893,1,1000
7915,1,2000
7919,1,2000
7945,1,1000
7962,1,2000
7963,1,2000
7984,1,600
8019,1,4000
8022,1,6800
8063,0,1200
8079,1,1600
8094,1,10000
8114,1,1800
8151,0,2000
8152,0,2000
8190,0,600
8213,1,2000
8214,0,2000
8239,1,1600
8274,0,1200
8276,0,1600
8309,1,2000
8322,1,1400
8324,0,2000
8355,1,600
8383,0,3000
8385,0,2000
8420,1,400
8437,0,2800
8438,1,1200
8465,0,1000
8499,1,1000
8500,0,2000
8520,0,600
8541,0,2000
8552,0,2000
8589,1,1000
8605,1,3000
8618,1,400
8635,1,600
8675,1,2000
8676,0,2400
8710,1,1400
8725,1,800
8730,1,2000
8767,0,100
8781,1,2400
8786,1,2000
8808,1,600
8840,1,2700
8847,0,2600
8881,1,2000
8889,0,4000
8907,0,400
8931,1,3000
8935,0,2000
8966,0,1000
8991,1,1200
8996,0,2400
9021,1,3400
9034,1,2400
9044,0,5000
9070,1,1000
9096,1,5000
9097,0,3000
9110,1,2000
9142,1,12000
9157,1,20000
9189,1,1000
9217,1,2000
9218,1,10
9242,1,1000
9266,1,2000
9280,1,1000
9300,1,1200
9322,0,1200
9323,0,2000
9360,1,1000
9375,1,4000
9389,0,3000
9446,1,2000
9449,1,2000
9463,1,1000
9499,0,4000
9510,0,2000
9524,1,2000
9563,1,4000
9570,1,4000
9603,1,1000
9622,0,600
9638,1,1000
9663,1,1000
9674,1,2000
9705,1,1800
9735,1,1200
9750,1,1600
9755,1,1400
9792,0,10
9815,1,4000
9816,0,1790
9853,1,3400
9862,0,4600
9865,0,2600
9908,1,1600
9932,1,2000
9934,1,2200
9976,0,1200
9990,0,2200
9997,0,600
10040,1,1000
10065,1,1600
10066,1,6000
10087,0,1400
10110,1,3600
10114,1,4000
10157,1,1000
10171,1,4000
10172,0,9000
10211,1,1000
10230,1,4400
10233,0,2200
10265,0,1000
10288,1,8000
10291,0,4000
10322,0,4000
10351,1,1400
10352,0,6000
10392,1,600
10407,1,4000
10410,1,1600
10449,0,600
